participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,correct_button,response_window,inter_time_interval,late_response,response_time
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,12,0,280,540,1,395.0980305671692
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,13,1,410,530,0,348.2380509376526
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,13,0,320,540,1,335.4480266571045
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,14,1,390,530,0,365.8919930458069
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,14,1,360,540,0,213.30499649047852
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,15,0,350,530,1,368.41100454330444
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,15,1,350,540,0,226.68898105621338
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,16,0,390,530,1,398.2410430908203
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,16,1,340,540,0,259.0329647064209
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,17,0,430,530,1,490.68498611450195
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,17,1,320,540,0,293.85900497436523
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,18,1,510,530,0,389.0729546546936
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,18,0,280,540,1,305.76902627944946
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,19,1,500,530,0,364.4610047340393
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,19,1,320,540,0,267.4180269241333
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,0,1,500,500,0,236.780047416687
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,0,1,500,500,0,233.83700847625732
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,1,1,490,500,0,251.94191932678223
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,1,1,490,500,0,240.49997329711914
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,2,1,480,500,0,258.43191146850586
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,2,1,480,500,0,248.39210510253906
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,3,1,460,500,0,191.7569637298584
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,3,0,,,,
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,4,1,420,500,0,218.3840274810791
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,4,1,460,500,0,303.82001399993896
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,5,1,340,500,0,259.9360942840576
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,5,0,,,,
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,6,0,180,500,1,235.41295528411865
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,6,0,,,,
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,7,0,220,500,1,303.81691455841064
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,7,0,420,500,1,87.22496032714844
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,8,1,260,500,0,233.254075050354
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,8,1,460,500,0,246.60897254943848
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,9,0,250,500,1,335.16907691955566
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,9,0,,,,
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,10,1,290,500,0,215.2940034866333
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,10,0,450,500,1,N/A
