participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,flanking_cue,response_window,response_time,first_button,correct_button,trial_type,second_button,late_response,displayed_cue
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,46,C,800,526.6950130462646,NO,1,CONGRUENT,YES,0,C
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,47,C,790,489.96299505233765,NO,1,CONGRUENT,YES,0,C
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,48,C,2030,691.3819909095764,YES,1,INCONGRUENT,NO,0,B
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,49,D,1990,799.2590069770813,NO,0,INCONGRUENT,YES,0,B
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,0,D,800,573.1329917907715,YES,1,INCONGRUENT,NO,0,A
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,1,B,790,695.8529949188232,NO,1,INCONGRUENT,YES,0,D
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,2,D,800,542.493999004364,YES,0,CONGRUENT,NO,0,D
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,3,D,840,583.092987537384,NO,1,CONGRUENT,YES,0,D
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,4,C,780,592.0340418815613,YES,1,INCONGRUENT,NO,0,B
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,5,D,830,726.4919877052307,YES,0,CONGRUENT,NO,0,D
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,6,D,870,592.0239686965942,NO,1,CONGRUENT,YES,0,D
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,7,D,760,616.919994354248,YES,1,INCONGRUENT,NO,0,A
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,8,B,720,636.2500190734863,NO,1,INCONGRUENT,YES,0,D
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,9,B,640,709.1930508613586,YES,0,INCONGRUENT,NO,1,C
