participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,response_time,response_window,trial_accuracy,position_is_top,correct_button,late_response
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,33,367.4129843711853,490,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,34,411.18502616882324,650,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,34,286.51297092437744,480,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,35,0,640,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,35,361.6729974746704,460,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,36,516.3559913635254,640,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,36,320.96195220947266,420,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,37,0,630,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,37,402.45795249938965,340,Miss,1,0,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,38,0,630,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,38,376.58196687698364,380,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,39,0,630,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,39,287.58102655410767,370,Hit,1,1,0
ADMIN-UCSF-BK004,2017-10-16 21:00:20+00:00,2017-10-19 21:30:24+00:00,,Impulsive,0,0,600,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK004,2017-10-16 21:00:20+00:00,2017-10-19 21:30:24+00:00,,Sustained,0,297.3470091819763,600,Hit,1,1,0
ADMIN-UCSF-BK004,2017-10-16 21:00:20+00:00,2017-10-19 21:30:24+00:00,,Impulsive,1,237.74999380111694,600,Hit,1,1,0
ADMIN-UCSF-BK004,2017-10-16 21:00:20+00:00,2017-10-19 21:30:24+00:00,,Sustained,1,401.6159772872925,590,Hit,1,1,0
