participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,position_is_top,correct_button,response_window,late_response,response_time
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,12,0,0,720,1,751.865029335022
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,12,0,0,770,0,392.2150135040283
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,13,0,1,1760,0,1320.6190466880798
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,13,1,0,1220,0,1149.4620442390442
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,13,0,1,1040,0,760.6149911880493
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,13,0,1,810,0,442.3680305480957
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,14,1,0,1750,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,14,0,1,1260,0,916.3990020751953
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,14,1,0,1030,0,736.6489768028259
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,14,1,0,800,0,530.8219790458679
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,15,1,1,1790,0,1200.8150219917297
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,15,1,1,1250,0,980.4650545120239
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,15,0,1,1070,0,836.3639712333679
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,15,1,1,840,0,467.818021774292
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,16,1,0,1780,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,16,1,0,1240,0,1041.0619974136353
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,16,1,1,1060,0,591.8670296669006
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,16,1,0,830,0,467.2499895095825
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,17,1,1,1820,0,1395.792007446289
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,17,1,1,1280,0,1131.397008895874
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,17,0,1,1050,0,695.1619982719421
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,17,1,1,870,0,768.7100172042847
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,18,0,1,1810,0,1174.7429966926575
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,18,1,1,1270,0,894.2970037460327
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,18,0,0,1030,0,666.2760376930237
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,18,1,1,860,0,596.8759655952454
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,19,0,1,1800,0,1751.4449954032898
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,19,0,1,1260,0,1146.1119651794434
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,19,1,1,1070,0,785.7360243797302
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,19,0,1,850,0,617.3139810562134
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,20,1,0,1780,0,1662.5369787216187
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,20,0,0,1240,0,1205.640971660614
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,20,0,1,1060,0,601.809024810791
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,20,1,1,830,0,416.94605350494385
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,21,1,0,1820,0,N/A
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,21,0,1,1280,0,801.5689849853516
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,21,0,0,1050,1,1337.81898021698
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,21,0,1,790,0,551.6039729118347
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,22,1,1,1860,0,1096.5259671211243
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,22,0,1,1270,0,1154.798984527588
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,22,1,1,1090,0,498.72100353240967
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,22,0,0,710,0,454.96803522109985
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,23,0,1,1850,0,978.2229661941528
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,23,1,1,1260,0,1039.3289923667908
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,23,0,1,1080,0,616.3220405578613
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,23,0,1,750,0,624.6269941329956
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,24,1,1,1840,0,1054.960012435913
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,24,0,1,1240,0,930.1019906997681
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,24,1,1,1070,0,632.0149898529053
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,24,1,1,740,0,562.3109936714172
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,0,0,0,1000,1,1375.1190304756165
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,0,0,0,1000,1,1483.851969242096
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,0,0,1,1000,0,753.1570196151733
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,0,0,1,1000,0,844.1870212554932
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,1,1,0,1040,1,1110.2830171585083
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,1,1,0,1040,1,1129.751980304718
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,1,1,1,990,0,646.2079882621765
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,1,1,1,990,0,837.4029994010925
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,2,1,0,1080,1,1097.216010093689
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,2,1,1,1080,0,903.2970070838928
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,2,0,0,980,1,1003.0419826507568
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,2,0,1,980,0,558.8169693946838
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,3,0,0,1160,0,1060.492992401123
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,3,0,0,1070,1,1311.6120100021362
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,3,0,1,1020,0,789.1460061073303
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,3,1,1,960,0,735.5639934539795
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,4,0,0,1320,1,1392.2839760780334
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,4,1,1,1110,0,489.4840121269226
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,4,1,1,1010,0,475.8930206298828
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,4,0,1,920,0,798.130989074707
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,5,1,0,1640,0,N/A
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,5,1,0,1100,0,595.274031162262
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,5,0,1,1000,0,370.635986328125
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,5,1,1,840,0,715.3440117835999
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,6,1,1,2280,0,1205.3769826889038
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,6,1,1,1140,0,623.0270266532898
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,6,1,1,980,0,447.5899934768677
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,6,1,0,680,0,599.9360084533691
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,7,1,0,2270,1,N/A
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,7,0,1,1130,0,989.8509979248047
