participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,flanking_cue,response_window,response_time,first_button,correct_button,displayed_cue,second_button,late_response,trial_type
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,42,D,960,524.245023727417,YES,1,A,NO,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,43,B,940,323.5679864883423,YES,0,D,NO,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,44,C,980,408.9440107345581,NO,0,A,YES,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,45,D,1020,458.51296186447144,YES,1,A,NO,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,46,B,740,765.5099630355835,YES,1,B,NO,1,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,47,D,730,319.3730115890503,YES,0,D,NO,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,48,A,1010,439.13400173187256,YES,0,D,NO,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,49,A,1050,406.65197372436523,NO,1,C,YES,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,0,B,800,404.1699767112732,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,1,D,790,492.57999658584595,NO,1,D,YES,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,2,B,800,482.4169874191284,NO,1,C,YES,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,3,D,790,450.1890540122986,YES,1,A,NO,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,4,C,780,489.83800411224365,NO,0,B,YES,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,5,A,780,644.3880200386047,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,6,B,820,623.6259937286377,YES,0,D,NO,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,7,D,760,550.0550270080566,NO,1,D,YES,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,8,B,860,850.6680130958557,NO,1,C,YES,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,9,A,720,558.0389499664307,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,10,A,850,863.1840348243713,NO,1,D,YES,1,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,11,B,640,737.7800345420837,YES,1,B,NO,1,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,12,D,840,509.9220275878906,NO,0,B,YES,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,13,B,630,395.84797620773315,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,14,C,880,592.0989513397217,NO,0,B,YES,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,15,C,620,706.2729597091675,YES,0,C,NO,1,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,16,A,660,715.7029509544373,YES,1,A,NO,1,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,17,B,920,582.850992679596,YES,0,C,NO,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,18,C,1000,829.6979665756226,NO,0,B,YES,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,19,C,650,730.6550145149231,NO,1,C,YES,1,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,20,C,1160,497.51704931259155,NO,0,A,YES,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,21,C,640,682.6450228691101,NO,1,C,YES,1,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,22,A,630,589.8959636688232,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,23,B,620,1150.4170298576355,YES,1,B,NO,1,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,24,B,610,764.6000385284424,YES,1,B,NO,1,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,25,A,1480,587.4620079994202,NO,1,C,YES,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,26,D,600,441.24501943588257,YES,0,D,NO,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,27,C,680,271.77298069000244,NO,1,C,YES,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,28,B,670,175.63897371292114,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,29,C,1470,317.188024520874,YES,1,B,NO,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,30,D,660,347.0589518547058,YES,0,D,NO,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,31,A,700,356.4220070838928,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,32,A,1460,570.3510046005249,NO,1,D,YES,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,33,A,690,634.319007396698,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,34,B,1440,515.6510472297668,YES,0,C,NO,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,35,B,680,315.27799367904663,NO,0,B,YES,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,36,C,1480,409.248948097229,NO,0,B,YES,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,37,D,1520,441.47199392318726,NO,0,B,YES,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,38,D,1600,518.509030342102,YES,1,B,NO,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,39,D,1590,614.2969727516174,YES,1,B,NO,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,40,D,1580,505.9700012207031,YES,1,A,NO,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,41,D,720,639.8570537567139,YES,0,D,NO,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,42,A,1560,449.7470259666443,YES,0,C,NO,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,43,D,1600,449.7929811477661,NO,0,B,YES,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,44,C,760,424.85296726226807,YES,0,C,NO,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,45,A,1640,450.08403062820435,YES,0,C,NO,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,46,D,1720,497.22999334335327,YES,1,A,NO,0,INCONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,47,D,840,549.5820045471191,NO,1,D,YES,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,48,B,830,522.0150351524353,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS001,2017-12-08 21:56:38+00:00,2017-12-12 17:39:05+00:00,,,49,C,1710,198.28999042510986,YES,1,A,NO,0,INCONGRUENT
ADMIN-UCSF-BS012,2018-03-18 16:13:13+00:00,2018-04-16 20:30:00+00:00,,,0,B,800,738.0800247192383,NO,1,D,YES,0,INCONGRUENT
ADMIN-UCSF-BS012,2018-03-18 16:13:13+00:00,2018-04-16 20:30:00+00:00,,,1,C,790,514.0769481658936,YES,1,B,NO,0,INCONGRUENT
