participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,response_time,response_window,trial_accuracy,position_is_top,correct_button,late_response
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,26,0,440,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,27,0,400,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,27,348.52999448776245,440,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,28,0,400,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,28,424.3839979171753,430,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,29,0,400,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,29,394.4939970970154,420,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,30,307.51198530197144,400,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,30,395.97803354263306,400,False Alarm,0,0,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,31,327.3199796676636,390,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,31,382.5329542160034,440,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,32,286.050021648407,380,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,32,414.52300548553467,430,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,33,0,360,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,33,368.41899156570435,420,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,34,0,360,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,34,479.12901639938354,400,Miss,1,0,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,35,0,360,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,35,371.0690140724182,440,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,36,299.39401149749756,360,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,36,353.97303104400635,430,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,37,0,320,Correct Rejection,0,1,N/A
